billnum,material,rpa_sat,qty
900439975,1000045534,267.00,3
900440286,17617,27.00,1
900440286,19657,1846.00,2
900440286,25392,68.00,4
900440287,1000009358,84.00,1
900440287,1000009393,85.00,1
900441170,1000021719,496.00,4
900441170,1000021780,22.00,1
900441170,1000021852,4197.00,1
900441170,1000021853,9.00,1
900441170,1000021854,44.00,1
900442104,1000039720,3936.00,4
900442185,55316,56.00,1
900442315,17615,3884.00,4
900442315,17618,41.00,1
900442354,1000002479,95.00,1
900442354,1000005061,72.00,1
900442354,168222,152.00,2
900442354,43789,186.00,3
900442354,43791,73.00,1
900443454,16951,26.00,1
900443454,19719,49.00,1
900443454,19758,519.00,1
900443454,20776,11.00,1
900443454,32204,72.00,1
900443454,35687,92.00,4
900443454,40580,64.00,1
900443454,53258,164.00,1
900443454,55239,4943.00,1
900443454,55255,79.00,1
900443454,55414,23.00,1
900443454,55417,985.00,1
900443454,55445,180.00,3
900443454,55482,468.00,1
900443454,55571,104.00,2
900443454,55617,19.00,1
900443454,63127,87.00,1
900443454,646,470.00,1
900443454,70245,316.00,1
900443454,73203,52.00,1
900448100,1000016345,88.00,1
900448100,1000016439,6.00,1
900448670,1000047583,23.00,1
900448670,1000047604,48.00,1
900448670,1000047613,58.00,1
900448670,1000047682,22.00,1
900448670,1000047699,33.00,1
900448670,1000047704,202.00,1
900448670,1000047799,29.00,1
900448670,1000047800,28.00,1
900448670,1000047801,30.00,1
900448670,1000047812,380.00,1
900448670,1000047991,48.00,1
900448670,1000048071,84.00,2
900448670,1000048077,51.00,3
900448670,1000048160,374.00,1
900448670,1000048199,188.00,2
900448670,1000048387,72.00,1
900448670,1000048388,56.00,1
900450317,25408,747.00,1
900450317,646,470.00,1
900450318,1000037214,164.00,4
900450318,1000037380,92.00,1
900450318,1000037383,454.00,1
900450318,1000037499,22.00,2
900450318,1000037517,28.00,1
900452892,32204,72.00,1
900452892,55239,4943.00,1
900452893,1000046996,450.00,1
900455580,1000009703,481.00,1
900455580,1000010043,188.00,4
900455580,1000010362,31.00,1
900455580,1000010865,100.00,4
900455580,1000011055,122.00,1
900455580,1000011056,13.00,1
900455580,1000011057,35.00,1
900455580,1000011063,909.00,3
900455580,1000011135,428.00,1
900455580,1000011211,38.00,1
900455580,1000011269,152.00,2
900455580,1000011997,530.00,1
900455580,1000012422,42.00,2
900455580,1000012426,379.00,1
900455580,1000012659,94.00,2
900459451,1000035817,52.00,1
900459451,2024965002,62.00,2
900460176,1000004183,90.00,1
900460999,7000009745,291.00,3
900460999,724391,55.00,1
900461403,2027807001,30.00,1
900461403,2027809001,18.00,1
900461403,2027813001,7.00,1
900461403,2027813003,17.00,1
900461403,2027813006,22.00,1
900461403,2027815002,231.00,1
900461403,2027816003,547.00,1
900461403,2027819006,53.00,1
900461404,662668,82.00,1
900461404,7000009745,97.00,1
900461404,893138,88.00,1
900461790,646,470.00,1
900461841,662670,523.00,1
900461841,724391,110.00,2
900462155,893138,88.00,1
900463131,1000008679,20.00,1
900463131,1000008745,270.00,1
900463131,1000008767,27.00,1
900463131,1000008790,18.00,2
900463131,1000009324,68.00,1
900463265,662670,1569.00,3
900463265,724391,165.00,3
900464120,1000026133,147.00,3
900464120,1000026135,252.00,3
900464120,1000026148,62.00,1
900464120,1000026154,1116.00,3
900464120,1000026161,24.00,1
900464120,1000026163,2860.00,1
900464120,1000026165,394.00,2
900464120,1000026189,97.00,1
900464120,1000026286,226.00,1
900464120,1000026344,332.00,1
900464120,1000026388,295.00,1
900464120,1000026416,76.00,1
900464120,1000026418,31.00,1
900464120,1000026420,79.00,1
900464120,1000026423,100.00,2
900464120,1000026424,25.00,1
900464120,1000026440,32.00,1
900464120,1000026444,12.00,4
900464304,1000023986,272.00,4
900464756,7000009745,97.00,1
900464818,19758,519.00,1
900464818,25391,192.00,1
900464818,25408,747.00,1
900464819,724391,55.00,1
900465653,1000047384,29.00,1
900465653,1000047386,48.00,1
900465734,107436998,395.00,1
900465734,107437026,231.00,1
900467069,662670,523.00,1
900467069,7000009745,97.00,1
900469404,1000004353,495.00,3
900469404,108126086,17.00,1
900469404,108184139,48.00,1
900469596,1000047811,463.00,1
900469596,1000047812,380.00,1
900469749,1000014438,144.00,2
900470207,1000036208,392.00,2
900470207,1000039425,61.00,1
900470207,1000045617,68.00,1
900470207,1035672,3358.00,1
900470208,106295847,128.00,4
900470208,106295855,29.00,1
900470208,106295863,285.00,3
900470208,106297578,717.00,1
900470208,106382692,1059.00,1
900470209,1000013861,54.00,2
900470209,1000013897,156.00,1
900470209,1000013911,67.00,1
900470209,1000014150,380.00,4
900470209,1000014155,76.00,1
900475333,1000037382,2.00,1
900482056,646,470.00,1
900482129,2024555001,170.00,2
900482130,2030807004,63.00,3
900482130,2030995006,504.00,4
900482130,2030998004,218.00,1
900482130,2030998005,90.00,1
900482130,2031064006,2517.00,3
900482130,2031066006,4.00,1
900482130,2031072005,224.00,1
900482130,2031265004,40.00,1
900482130,2031378004,11433.00,3
900483178,16951,26.00,1
900483178,19067,198.00,3
900483178,646,470.00,1
900484310,1000022713,4740.00,1
900484310,2025447003,63.00,1
900484310,2025644003,252.00,1
900484310,2027691005,762.00,1
900484310,2029517004,2869.00,1
900484696,646,470.00,1
900486004,662670,1569.00,3
900486004,817851,20.00,1
900487683,1000045281,3.00,1
900487683,1000045294,111.00,3
900487683,1000045305,43.00,1
900487683,1000045309,35.00,1
900487683,1000045342,132.00,3
900487683,1000045343,25.00,1
900487683,1000045360,45.00,3
900487683,1000045367,88.00,1
900488921,2027182003,579.00,3
900488921,2027187002,29.00,1
900488922,1000022629,51.00,1
900488922,1000023988,363.00,1
900488922,1000045587,257.00,1
900488922,2024960002,189.00,1
900488922,2027419003,60.00,1
900488922,2027903003,16.00,1
900488922,2029679004,46.00,1
900488995,662668,82.00,1
900488995,7000009745,97.00,1
900488995,724391,55.00,1
900488999,2028391004,1215.00,3
900488999,2028398001,966.00,3
900489833,2027702003,222.00,3
900489833,2027726001,339.00,1
900489833,2027728004,228.00,3
900489833,2027751005,157.00,1
900489833,2027763004,414.00,1
900489833,2027768002,26.00,1
900490016,1000016303,668.00,4
900491102,662670,1046.00,2
900491102,7000009745,97.00,1
900491358,893138,88.00,1
900491368,662670,523.00,1
900491368,7000009745,97.00,1
900491845,16951,26.00,1
900491845,646,470.00,1
900492075,7000009746,240.00,3
900492433,19657,923.00,1
900492433,34428,28.00,1
900492433,35124,86.00,1
900492817,1000008679,20.00,1
900492817,1000008748,57.00,1
900492817,1000008984,53.00,1
900492817,1000009056,3637.00,1
900493047,1000018183,147.00,3
900493047,1000019047,84.00,1
900495077,1000047028,36.00,1
900495077,1000047033,316.00,1
900495639,724391,55.00,1
900495639,893138,88.00,1
900496996,662670,523.00,1
900497413,102738575,2558.00,2
900497413,662670,523.00,1
900497413,7000009745,97.00,1
900498404,1000020127,53.00,1
900498404,1000020239,90.00,1
900498404,1000020428,29.00,1
900498404,1000020794,160.00,2
900498502,7000009745,97.00,1
900498502,893138,88.00,1
900499003,18317,37.00,1
900499044,271228,57.00,1
900499045,2028016005,11.00,1
900499143,7000009745,97.00,1
900499225,1000012659,47.00,1
900499225,1000017664,14.00,1
900521747,2026543002,72.00,1
900521747,2026548003,216.00,4
900522742,2026806007,51.00,1
900522742,2026813006,36.00,1
900522742,2026882001,33.00,3
900522742,2026886005,56.00,1
900523111,1000032713,79.00,1
900523111,1000032857,1734.00,2
900523377,147753,10.00,1
900523377,172920,21.00,1
900523377,31171,29.00,1
900523377,35148,288.00,3
900523377,95035,1516.00,1
900523378,19719,49.00,1
900523378,25393,16.00,1
900523378,31171,29.00,1
900523378,32204,72.00,1
900523378,34428,28.00,1
900523378,36207,85.00,1
900523378,43788,2463.00,1
900523378,43791,73.00,1
900523378,55202,51.00,1
900523379,107652076,431.00,1
900523379,107661888,46.00,1
900523380,1000034733,584.00,1
900523380,1000034739,248.00,4
900523381,1035671,178.00,2
900523381,352434,15.00,1
900523381,739064,490.00,1
900523381,896500,114.00,1
900523382,2025084004,6.00,3
900523383,104049600,558.00,3
900523384,102266627,48.00,2
900523384,478032,43.00,1
900523384,803095,493.00,1
900523385,7000009745,194.00,2
900523470,106297631,245.00,1
900523470,107812535,100.00,1
900523470,108136823,4117.00,1
900524522,1000037374,568.00,1
900524522,1000037381,896.00,1
900524523,1000046998,269.00,1
900524523,1000047025,76.00,1
900524523,1000047033,316.00,1
900524523,1000047035,176.00,4
900524523,1000047095,46.00,1
900524523,1000047099,88.00,1
900524523,1000047104,30.00,1
900524523,1000047154,59.00,1
900524523,1000047228,384.00,4
900524695,1000022713,4740.00,1
900524695,2025447003,63.00,1
900524695,2025644003,252.00,1
900524695,2027691005,2286.00,3
900524695,2029517004,5738.00,2
900524803,1000040333,61.00,1
900524803,1000040377,42.00,3
900524803,1000040451,68.00,1
900524806,1000025039,285.00,1
900524835,102738575,1279.00,1
900524835,7000009745,291.00,3
900524856,1000025093,80.00,4
900524856,1000025094,95.00,1
900525716,108287576,48.00,3
900525716,108288632,66.00,1
900525848,662670,523.00,1
900525848,724390,424.00,2
900526282,2028163001,21.00,1
900526282,2028176005,24.00,1
900527335,646,940.00,2
900527335,8178,41.00,1
900527336,108221850,53.00,1
900527336,108222166,20.00,1
900527448,646,470.00,1
900527891,106748720,4.00,1
900527891,106754695,9.00,1
900527891,106755719,84.00,3
900527891,106756711,161.00,1
900527891,106756720,76.00,1
900527891,106765693,4.00,4
900527891,106773693,55.00,1
900527891,106773714,49.00,1
900527891,106773731,159.00,3
900527891,106773749,2628.00,3
900527891,106773781,346.00,1
900527891,106773790,467.00,1
900527891,106773802,39.00,1
900527891,106773811,329.00,1
900527891,106778902,59.00,1
900527891,106778911,352.00,4
900527891,106778929,3329.00,1
900527891,106785811,26.00,1
900527891,106793766,161.00,1
900528471,108298785,79.00,1
900528471,108298793,26.00,1
900528856,1000047804,120.00,2
900528856,1000047805,126.00,2
900528856,1000047953,38.00,1
900529337,108349271,59.00,1
900530279,1000040403,23.00,1
900530280,106295610,758.00,2
900530716,1000040092,296.00,4
900530716,1000040147,27.00,1
900530716,1000040329,586.00,2
900530716,1000040339,47.00,1
900530716,1000040340,4.00,1
900530716,1000040371,346.00,2
900530716,1000040372,3.00,3
900530716,1000040385,40.00,1
900530716,1000040387,3081.00,1
900533283,1000040333,61.00,1
900533283,1000040377,14.00,1
900533283,1000040451,68.00,1
900533283,1000040455,27.00,1
900533283,1000040515,5824.00,2
900533376,106756711,161.00,1
900533377,1000019943,108.00,3
900533377,1000019944,43.00,1
900533694,1000035364,225.00,3
900533694,1000035395,2562.00,3
900533694,1000035455,32.00,1
900533712,2031588004,790.00,1
900533712,2031802001,15.00,1
900533712,2031802002,81.00,1
900533712,2031988001,26.00,1
900534881,16951,26.00,1
900534881,19657,923.00,1
900534881,20404,4100.00,1
900534881,20704,300.00,3
900534881,20776,11.00,1
900534881,25390,41.00,1
900534881,25393,16.00,1
900534881,26703,168.00,4
900534881,30600,66.00,1
900534881,646,470.00,1
900535975,106199599,67.00,1
900535975,106199610,26.00,1
900535975,106199652,4.00,1
900536993,1000014082,884.00,1
900536993,1000035634,27.00,1
900536993,104439667,40.00,1
900538052,1000045470,141.00,1
900538052,1000045527,50.00,1
900538750,1000019047,84.00,1
900538750,1000031807,202.00,1
900538750,108286848,108.00,3
900539391,1000032296,848.00,2
900539391,1019662,215.00,1
900539391,2028462006,524.00,4
900539391,2028495007,56.00,1
900539391,2029859004,505.00,1
900539862,100605200,22.00,1
900540934,12164,132.00,1
900540934,17621,18.00,1
900540934,19380,186.00,3
900541856,108221850,106.00,2
900541856,108228373,57.00,1
900541856,108236630,3.00,1
900541856,108254125,4966.00,1
900541857,102738575,1279.00,1
900541857,662670,523.00,1
900541857,7000009745,291.00,3
900542005,16951,26.00,1
900542005,19372,353.00,1
900542005,19380,62.00,1
900542005,19657,923.00,1
900542005,646,470.00,1
900542083,2027271001,16.00,1
900542083,2027272001,183.00,3
900542241,19758,519.00,1
900542241,20703,69.00,1
900542241,20706,36.00,3
900542242,1000030463,238.00,1
900542242,1000030464,66.00,1
900542242,1000030465,75.00,1
900542487,662670,1046.00,2
900542487,893138,88.00,1
900542805,1000039177,61.00,1
900545158,16951,26.00,1
900545158,17615,971.00,1
900545387,12164,528.00,4
900545387,20703,69.00,1
900545387,30608,18.00,2
900545387,32204,288.00,4
900545387,646,470.00,1
900550191,1000038882,90.00,1
900550191,1000038886,45.00,1
900550191,1000038887,232.00,4
900550191,1000038888,93.00,1
900550494,1000003833,430.00,1
900550494,1000003834,32.00,1
900550494,1000003839,76.00,1
900550494,1000004061,35.00,1
900550494,1000004079,27.00,1
900550494,1000004090,29.00,1
900550494,1000004101,28.00,1
900550494,1000004268,122.00,1
900550494,1000004269,475.00,1
900550494,1000004421,876.00,4
900550494,1000004531,40.00,1
900550494,1000004749,17.00,1
900550494,1000004755,4674.00,1
900550494,1000004756,84.00,1
900550494,1000005220,96.00,1
900550494,1000005461,46.00,1
900551332,2028017005,85.00,1
900551332,2028019002,342.00,2
900551332,2028024002,45.00,3
900551332,2028025006,36.00,1
900551332,2028026003,69.00,1
900551332,2028026005,48.00,1
900551332,2028039004,45.00,1
900551332,2028062004,88.00,1
900551332,2028066004,97.00,1
900551332,2028076004,32.00,1
900551332,2028083004,44.00,1
900552997,1000034243,17.00,1
900554122,662670,523.00,1
900554122,724391,55.00,1
900554315,2027199002,645.00,1
900554522,1000018506,98.00,1
900554595,1000018506,98.00,1
900554595,436283,35.00,1
900554810,2026988002,1857.00,1
900554810,2026990002,3672.00,3
900554810,2026990004,22.00,1
900555793,1000044242,59.00,1
900555793,2027491002,649.00,1
900555793,2029602004,60.00,1
900557441,2028172004,1314.00,3
900560256,2027506003,94.00,1
900560256,2027506004,266.00,1
900560256,2027512001,66.00,1
900560256,2027521001,33.00,1
900560256,2027521002,91.00,1
900560256,2027522005,13185.00,3
900560256,2027525003,86.00,1
900561187,19657,2769.00,3
900561187,20704,100.00,1
900561187,20858,42.00,1
900561187,25379,204.00,3
900561187,25402,481.00,1
900561372,100049717,41.00,1
900561372,939933,188.00,4
900561782,105890863,18.00,3
900562915,1000018506,98.00,1
900562915,436284,27.00,1
900563026,19067,66.00,1
900563196,1000014892,22.00,1
900563196,1000014929,328.00,1
900563196,1000015354,88.00,1
900563196,1000015416,1492.00,4
900563196,1000015462,32.00,2
900563196,1000015480,360.00,4
900563196,1000016219,1287.00,3
900563203,1000036103,25.00,1
900563203,1000036127,97.00,1
900563203,1000036163,35.00,1
900563203,1000036165,76.00,1
900564961,724390,212.00,1
900565634,107995634,582.00,1
900565634,107995677,97.00,1
900565634,108000803,200.00,1
900566623,19372,353.00,1
900566623,25408,747.00,1
900566623,646,470.00,1
900566624,2026569003,66.00,1
900566624,2026575002,196.00,2
900567300,17621,36.00,2
900567300,18452,52.00,1
900567300,19067,66.00,1
900567300,20706,12.00,1
900567300,25379,272.00,4
900567592,1000030066,69.00,1
900567592,108097211,1.00,1
900567592,35484,138.00,3
900567992,108394371,288.00,1
900567992,108395016,73.00,1
900567992,108402204,93.00,1
900569134,107636076,90.00,1
900569134,107636084,59.00,1
900569269,1000044448,78.00,1
900569269,1000044451,96.00,1
900569269,1000044486,181.00,1
900569269,1000044489,69.00,1
900569269,1000044492,192.00,4
900569269,1000044508,82.00,1
900569620,1000048771,74.00,1
900569620,1000048902,56.00,1
900569856,2029910003,52.00,1
900569856,2029916005,704.00,1
900569857,662670,523.00,1
900569857,893138,88.00,1
900570376,17617,27.00,1
900570822,724391,55.00,1
900571001,1000040215,65.00,1
900571001,1000040293,2704.00,4
900571121,7000009745,97.00,1
900571468,1000035323,1736.00,2
900571468,1000035387,8.00,1
900571468,1000035480,416.00,2
900571468,1000035481,76.00,1
900571468,1000035494,495.00,1
900571513,18452,52.00,1
900571513,20404,4100.00,1
900571513,646,470.00,1
900571818,7000009745,97.00,1
900572544,106773773,47.00,1
900572544,106773781,346.00,1
900572587,16951,26.00,1
900572588,107604955,165.00,3
900572588,107605544,232.00,1
900572588,107605923,960.00,2
900572588,107605931,331.00,1
900572588,107605982,8.00,1
900572588,107632041,32.00,1
900572588,107632163,114.00,1
900572927,662668,82.00,1
900575104,2029504003,270.00,3
900575104,2029557003,533.00,1
900575104,2029566004,62.00,1
900576849,2022568004,98.00,1
900576849,2022569001,1532.00,4
900576849,2022575002,85.00,1
900576849,2022689004,4503.00,1
900576849,2022701001,37.00,1
900576868,1000008744,50.00,1
900576868,1000008767,54.00,2
900576868,1000009357,574.00,2
900576922,1000019055,1947.00,3
900576922,1000019063,24.00,1
900576922,1000019075,250.00,1
900577023,1000045813,75.00,1
900577023,1000045862,84.00,2
900577023,1000045886,220.00,4
900577023,1000045889,208.00,1
900577023,1000045902,168.00,2
900577088,106214584,77.00,1
900577088,106729764,39.00,1
900577088,2024915003,58.00,1
900577088,2025502006,90.00,1
900577088,2026927005,29.00,1
900577088,2027955003,19.00,1
900577088,2028474001,34.00,1
900577088,2028598003,277.00,1
900577088,2030040001,27.00,1
900577215,25408,747.00,1
900577215,32204,72.00,1
900577305,2032658005,225.00,1
900577305,2032668004,45.00,1
900577305,2032692005,29.00,1
900578295,2024838003,58.00,1
900578295,2025550006,43.00,1
900578295,2026720004,35.00,1
900578295,2029577003,29.00,1
900578296,108353529,2449.00,1
900578651,18452,156.00,3
900578651,19657,923.00,1
900578651,20704,300.00,3
900578651,25392,17.00,1
900578651,30598,120.00,4
900578841,16951,26.00,1
900578841,17615,971.00,1
900579252,7000009745,97.00,1
900579254,19067,66.00,1
900579254,19719,49.00,1
900579254,31171,58.00,2
900579254,32204,72.00,1
900579254,646,470.00,1
900579359,1000014381,90.00,2
900579359,1000014392,42.00,1
900579359,1000014401,40.00,1
900579359,1000014831,1968.00,4
900579359,1000014832,204.00,3
900579359,1000014907,96.00,1
900579359,1000014929,328.00,1
900579359,1000014931,16.00,1
900579359,1000014932,172.00,1
900579359,1000014944,12.00,1
900579359,1000014945,352.00,1
900579359,1000014967,27.00,1
900579359,1000015041,4311.00,1
900579359,1000015048,474.00,1
900580163,1000005645,81.00,1
900580384,19067,198.00,3
900580384,646,940.00,2
900581531,108353473,60.00,1
900581975,2028877001,233.00,1
900581975,2028878002,191.00,1
900581975,2028881003,66.00,1
900582902,1000045563,54.00,1
900582902,1000045582,39.00,1
900582902,1000045584,41.00,1
900582903,7000009745,97.00,1
900583071,662668,82.00,1
900586459,1000027243,4182.00,1
900586459,1000030911,279.00,3
900586459,2006571001,50.00,1
900586459,2025376001,211.00,1
900586507,2027639003,75.00,1
900586830,662668,82.00,1
900587435,2025789003,765.00,3
900587435,2026228006,68.00,1
900587557,1000036910,64.00,1
900587742,1000030562,34.00,1
900587742,1000030563,227.00,1
900587742,1000030864,33.00,1
900587742,1000030871,32.00,1
900587742,1000030879,266.00,1
900587742,1000030894,34.00,1
900587742,1000030898,44.00,1
900587742,1000030900,50.00,1
900587742,1000031032,48.00,3
900587742,1000031201,45.00,1
900587742,1000031202,63.00,1
900587742,1000031207,43.00,1
900587742,1000031208,122.00,2
900587742,1000031217,176.00,4
900587742,1000031232,368.00,4
900587863,1000039288,279.00,3
900587863,1000039308,44.00,1
900588411,19372,353.00,1
900588411,20706,36.00,3
900588411,25390,41.00,1
900588766,16951,26.00,1
900588766,19372,353.00,1
900589514,2030737002,27.00,1
900589514,2030777003,200.00,2
900589514,2031009003,90.00,3
900590057,2019498005,559.00,1
900590057,2019644003,5.00,1
900590057,2021502002,140.00,2
900590057,2021680001,88.00,1
900590057,2021802004,359.00,1
900590057,2021807002,36.00,1
900590057,2022622001,300.00,1
900590057,2022803003,219.00,1
900590057,2022804004,372.00,2
900590057,2022970001,24.00,1
900590057,2023074007,46.00,1
900590057,2023182004,255.00,3
900590405,662670,523.00,1
900590407,646,470.00,1
900590793,1000025096,60.00,1
900590793,243353,1308.00,3
900590793,350957,755.00,1
900590794,1000045731,363.00,1
900590794,1000045761,246.00,1
900591269,43653,24.00,1
900591527,662668,82.00,1
900591527,7000009745,291.00,3
900591529,1000003351,12.00,1
900591529,1000026112,61.00,1
900592845,102738575,2558.00,2
900592845,662668,82.00,1
900592845,662670,1569.00,3
900592845,7000009745,97.00,1
900592845,817851,40.00,2
900593235,2026763001,29.00,1
900593653,17637,3480.00,4
900593653,20404,4100.00,1
900593653,20703,69.00,1
900593653,20705,94.00,1
900593653,2486,20.00,1
900594046,1000039768,2079.00,3
900596173,108006480,57.00,1
900596173,108010631,50.00,1
900596173,108025111,1182.00,3
900596173,108052857,52.00,1
900596173,108052902,92.00,1
900596380,7000009746,160.00,2
900597221,2028267003,35.00,1
900598172,16951,78.00,3
900598172,43653,24.00,1
900598172,43789,62.00,1
900598172,55145,261.00,3
900598172,55239,4943.00,1
900598172,55414,23.00,1
900598172,55417,985.00,1
900598172,55511,132.00,2
900598172,55644,100.00,1
900598172,56643,82.00,1
900598172,57189,360.00,1
900598172,77782,37.00,1
900598172,88799,99.00,1
900598172,95035,1516.00,1
900598173,1000029715,30.00,1
900598173,1000029909,15244.00,4
900598173,1000030243,3126.00,1
900598173,1000030427,58.00,1
900598173,1000030568,332.00,4
900598173,1000030832,71.00,1
900598173,1000030894,34.00,1
900598173,1000030895,71.00,1
900598173,1000030898,88.00,2
900598173,1000030900,50.00,1
900598173,1000031033,308.00,1
900598173,1000031366,49.00,1
900598173,1000031415,29.00,1
900598173,1000031630,98.00,1
900598173,1000032710,87.00,1
900598173,1000032773,126.00,3
900598173,1000032933,35.00,1
900598245,107604955,55.00,1
900598245,107605544,232.00,1
900599766,27426,4.00,1
900599766,55239,4943.00,1
900599766,55417,985.00,1
900599766,55482,468.00,1
900599766,55484,2936.00,1
900599906,18452,52.00,1
900599906,646,1880.00,4
900600002,102738575,1279.00,1
900600697,108319030,84.00,1
900600697,874921,21.00,1
900601268,1000039431,36.00,1
900601268,1000039479,29.00,1
900601725,2027968003,235.00,1
900601725,2027987001,16.00,1
900601725,2027991004,467.00,1
900602237,1000012421,722.00,1
900602237,1000012422,21.00,1
900602237,1000012426,379.00,1
900602237,1000012660,49.00,1
900602237,1000012663,45.00,1
900602609,7000009745,97.00,1
900603991,1000008748,57.00,1
900603991,1000008749,68.00,1
900603992,2029998001,29.00,1
900603992,2030008005,30.00,1
900603992,2030022003,887.00,1
900603992,2030022004,12.00,1
900603992,2030042002,829.00,1
900603992,2030043002,486.00,1
900603992,2030044002,4.00,1
900603992,2030045002,75.00,1
900603992,2030045004,31.00,1
900603992,2030054004,69.00,1
900603992,2030057006,1095.00,3
900603992,2030067004,372.00,4
900603992,2030072002,58.00,2
900603992,2030072003,16972.00,4
900604099,1000010847,38.00,2
900604099,1000010855,395.00,1
900604099,1000011051,99.00,1
900604099,1000011053,83.00,1
900604099,1000011784,57.00,1
900605001,7000009745,97.00,1
900605001,724391,55.00,1
900605364,1000021986,763.00,1
900605593,102738575,1279.00,1
900605593,7000009745,97.00,1
900605855,1000041909,40.00,1
900605855,1000041918,18.00,3
900605855,1000041936,476.00,1
900605855,1000041939,1850.00,2
900605920,1000006092,185.00,1
900605920,1000024825,32.00,1
900607047,1000008510,20.00,1
900607047,1000029921,38.00,1
900607449,1000044429,39.00,1
900607449,1000044447,58.00,1
900607449,1000044448,78.00,1
900607449,1000044451,96.00,1
900607449,1000044484,508.00,2
900607449,1000044486,181.00,1
900607449,1000044489,69.00,1
900607449,1000044490,694.00,1
900607449,1000044492,48.00,1
900607449,1000044498,57.00,1
900607449,1000044506,22.00,1
900607449,1000044525,264.00,3
900607449,1000044536,46.00,1
900607449,1000044542,85.00,1
900607449,1000044546,8.00,1
900607449,1000044547,291.00,1
900607449,1000044589,366.00,1
900607450,1000030930,67.00,1
900607450,1000041942,948.00,2
900607450,2025625009,197.00,1
900607450,2026049007,456.00,1
900607450,2026094004,172.00,2
900607456,1000035364,75.00,1
900607486,2026859004,651.00,1
900607486,2026862002,3.00,1
900607755,106755719,28.00,1
